Period,Interest Due A,Interest Paid A,Interest Shortfall A,Principal Paid A,Balance A,Interest Due B,Interest Paid B,Interest Shortfall B,Principal Paid B,Balance B,Reserve Account
37,35462.42481936496,35462.42481936496,0,495211.3431824587,8015770.613465132,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7546611.764565232
38,33399.04422277139,33399.04422277139,0,501352.5392515955,7514418.074213536,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7673914.260727352
39,31310.07530922307,31310.07530922307,0,507548.2800828359,7006869.7941307,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7803772.625087206
40,29195.290808877915,29195.290808877915,0,514591.18868575286,6492278.605444947,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,7905402.837833056
41,27051.16085602061,27051.16085602061,0,521482.1747020627,5970796.430742884,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8007195.294133064
42,24878.318461428684,24878.318461428684,0,528720.9822474463,5442075.448495436,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8098717.084721395
43,22675.314368730986,22675.314368730986,0,536061.5496645808,4906013.898830857,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8185101.311985292
44,20441.724578461904,20441.724578461904,0,543505.324872131,4362508.573958725,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8266275.353831906
45,18177.119058161352,18177.119058161352,0,550375.0929712871,3812133.480987437,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8356335.201333758
46,15883.88950411432,15883.88950411432,0,558021.276461083,3254112.2045263536,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8426800.766062012
47,13558.80085219314,13558.80085219314,0,565245.5676816923,2688866.636844661,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8502956.83465402
48,11203.610986852755,11203.610986852755,0,572126.6763440316,2116739.9605006278,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8581522.87203556
49,8819.749835419283,8819.749835419283,0,580081.2181492752,1536658.7423513532,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8635323.210730743
50,6402.744759797305,6402.744759797305,0,587507.5848486997,949151.1575026549,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8698433.216545153
51,3954.7964895943956,3954.7964895943956,0,547576.3175165437,401574.83998611197,37805.83242366666,37805.83242366666,0,0.0,5670874.863549999,8740727.944910614
52,1673.228499942133,1673.228499942133,0,401574.83998611197,0,37805.83242366666,37805.83242366666,0,137034.36110077857,5533840.50244922,8791659.496519724
53,0.0,0,0,0,0,36892.27001632813,36892.27001632813,0,523111.44068879366,5010729.0617604265,8832071.167263407
54,0.0,0,0,0,0,33404.860411736176,33404.860411736176,0,504570.6392036306,4506158.422556796,8868667.459984006
55,0.0,0,0,0,0,30041.05615037864,30041.05615037864,0,479400.7482962622,4026757.674260534,8919570.736371899
56,0.0,0,0,0,0,26845.051161736894,26845.051161736894,0,453992.34048171144,3572765.3337788223,8959863.260802098
57,0.0,0,0,0,0,23818.435558525485,23818.435558525485,0,429125.76806936925,3143639.565709453,8977302.001701599
58,0.0,0,0,0,0,20957.597104729688,20957.597104729688,0,390824.50616551033,2752815.0595439426,9001799.655465322
59,0.0,0,0,0,0,18352.100396959617,18352.100396959617,0,354537.6099017151,2398277.4496422275,9013211.98563036
60,0.0,0,0,0,0,15988.516330948185,15988.516330948185,0,321798.9280559967,2076478.521586231,9033222.603834515
61,0.0,0,0,0,0,13843.190143908207,13843.190143908207,0,277997.7469317201,1798480.774654511,9053348.757759323
62,0.0,0,0,0,0,11989.871831030074,11989.871831030074,0,233232.14202993608,1565248.632624575,9101788.866625449
63,0.0,0,0,0,0,10434.990884163833,10434.990884163833,0,194745.12758190205,1370503.505042673,9131671.101105656
64,0.0,0,0,0,0,9136.69003361782,9136.69003361782,0,170315.42906780733,1200188.0759748658,9158289.590021139
65,0.0,0,0,0,0,8001.25383983244,8001.25383983244,0,137481.8929332848,1062706.183041581,9194112.014332125
66,0.0,0,0,0,0,7084.707886943874,7084.707886943874,0,118014.27773527667,944691.9053063039,9212498.279687235
67,0.0,0,0,0,0,6297.946035375359,6297.946035375359,0,97333.20119052306,847358.704115781,9247359.380759502
68,0.0,0,0,0,0,5649.05802743854,5649.05802743854,0,78431.18151683164,768927.5225989493,9273532.395080704
69,0.0,0,0,0,0,5126.183483992995,5126.183483992995,0,57372.49871137675,711555.0238875728,9299950.727645867
70,0.0,0,0,0,0,4743.700159250486,4743.700159250486,0,49303.995345492,662251.0285420809,9318929.003626537
71,0.0,0,0,0,0,4415.006856947206,4415.006856947206,0,33175.63356622843,629075.3949758522,9371472.577318871
72,0.0,0,0,0,0,4193.835966505681,4193.835966505681,0,0.0,629075.3949758522,9404137.9277049
